rank,offset,num_amostras,rms,pico,freq_dominante_hz
0,0,108642,0.077571,0.950000,566.89
1,108642,108642,0.076087,0.665350,417.48
2,217284,108642,0.067267,0.594434,388.18
3,325926,108642,0.045575,0.437129,492.19
