rank,offset,num_amostras,rms,pico,freq_dominante_hz
0,0,108642,0.090111,0.950000,442.38
1,108642,108642,0.096516,0.720343,417.48
2,217284,108642,0.094994,0.780838,388.18
3,325926,108642,0.059016,0.577028,367.68
