rank,offset,num_amostras,rms,pico,freq_dominante_hz
0,0,108642,0.101410,0.990000,116.46
1,108642,108642,0.108273,0.760876,60.06
2,217284,108642,0.119594,0.938475,388.18
3,325926,108642,0.077187,0.680978,118.65
